com.akslabs.circletosearch	AKS-Labs/CircleToSearch
com.akslabs.cloudgallery	AKS-Labs/CloudGallery
com.akylas.aard2	Akylas/OSS-Dict
com.akylas.cardwallet	ossappscollective/OSS-DocumentScanner
com.akylas.conty	Akylas/conty
com.akylas.documentscanner	ossappscollective/OSS-DocumentScanner
com.akylas.enforcedoze	farfromrefug/EnforceDoze
com.akylas.weather	ossappscollective/oss-weather
com.albertobonacina.wassword	polilluminato/wassword-flutter
com.alexkang.loopboard	AlexKang/loopboard
com.alexmercerind.audire	alexmercerind/audire
com.alftendev.notlistener	Alfio010/notification-listener-android
com.alovoa.expo	Alovoa/alovoa-expo
com.alxgnon.postwriter	alxgnon/PostWriter
com.amanoteam.flonne	AmanoTeam/Goregram
com.amanoteam.kahon	AmanoTeam/Kahon
com.amanoteam.kurt	AmanoTeam/JustDeleteMe
com.amaze.filemanager	TeamAmaze/AmazeFileManager
com.amaze.fileutilities	TeamAmaze/AmazeFileUtilities
com.amirsteinbeck.taskmate	Amirhossein77-98/taskmate
com.ammar.sharing	Ammar64/Sharing
com.ammar.wallflow	ammargitham/WallFlow
com.ammar.wallflow.plus	ammargitham/WallFlow
com.amnesica.clearclipboard	amnesica/ClearClipboard
com.amnesica.kryptey	amnesica/KryptEY
com.amrdeveloper.linkhub	AmrDeveloper/LinkHub
com.amrdeveloper.turtle	amrdeveloper/Turtle
com.anant.fitbuddy	anantdark/FitBuddy
com.andreacioccarelli.androoster	cioccarellia/androoster
com.andreiapps.diesimu	andreiapps/die_simulator
com.android.adbkeyboard	senzhk/ADBKeyBoard
com.android.geto	JackEblan/Geto
com.android.gpstest.osmdroid	barbeau/gpstest
com.android.keepass	bpellin/keepassdroid
com.android.shellms	try2codesecure/ShellMS
com.android.talkback	google/talkback
com.android.xrayfa	Q7DF1/XrayFA
com.androidcrypt	jmccoy600/androidCrypt
com.androidfromfrankfurt.workingtimealert	spidgorny/workingtimealert
com.androidvip.ddgui	Lennoard/DDGUI
com.androidvip.sysctlgui	Lennoard/SysctlGUI
com.andsi.airlyrics	AirLyrics/AirLyrics
com.angryburg.uapp	nilesr/United4
com.angrydoughnuts.android.alarmclock	kraigs-android/kraigsandroid
com.anindra.messages	an1ndra/Messages
com.anisync.android	Marco-9456/AniSync
com.annie.dictionary.fork	marmistrz/QDict
com.anopticlabs.gravel	david-cant-code/pebble-app-degoogled
com.anthonyla.paperize	Anthonyy232/Paperize
com.antivocale.app	RisorseArtificiali/anti-vocale
com.antoinelabpixel.boxingclock	Antoine-lab-pixel/BoxingClock
com.antoniegil.astronia	antoniegil/Astronia
com.antony.muzei.pixiv	yellowbluesky/PixivforMuzei3
com.anxcye.anx_reader	Anxcye/anx-reader
com.anysoftkeyboard.janus	AnySoftKeyboard/janus
com.anysoftkeyboard.languagepack.afrikaans_oss	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.arabic	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.armenian2	AnySoftKeyboard/AnySoftKeyboard
com.anysoftkeyboard.languagepack.basque	AnySoftKeyboard/AnySoftKeyboard
